,Accuracy,Modelo,Parametros,Runtime,accuracy_values,runtime_values,stdAccuracy
0,0.8266942075337598,KNeighborsClassifier,"{'n_neighbors': 8, 'weights': 'distance', 'algorithm': 'kd_tree', 'p': 1, 'leaf_size': 30}",0.024086308479309083,"[0.81845238 0.80654762 0.83333333 0.8125     0.81547619 0.8452381
 0.8422619  0.80059524 0.85373134 0.83880597]","[0.02398586 0.02298737 0.02398634 0.02398586 0.02398705 0.02398634
 0.02298689 0.02498555 0.025985   0.02398682]",0.01729247476726459
1,0.8210358919687278,KNeighborsClassifier,"{'n_neighbors': 7, 'weights': 'uniform', 'algorithm': 'ball_tree', 'p': 1, 'leaf_size': 10}",0.031182312965393068,"[0.80952381 0.80952381 0.83928571 0.81547619 0.80952381 0.81547619
 0.8422619  0.78869048 0.84477612 0.8358209 ]","[0.02998352 0.02998161 0.029984   0.03398085 0.02998185 0.03098392
 0.03098273 0.03297925 0.03098249 0.0319829 ]",0.01752548136943946
2,0.8186460554371002,KNeighborsClassifier,"{'n_neighbors': 5, 'weights': 'uniform', 'algorithm': 'kd_tree', 'p': 1, 'leaf_size': 50}",0.019089174270629884,"[0.8125     0.80654762 0.83035714 0.81845238 0.81547619 0.83035714
 0.83035714 0.79166667 0.83283582 0.81791045]","[0.02298737 0.0219872  0.02298665 0.01799011 0.0179882  0.01699066
 0.01898789 0.01499295 0.01399088 0.02198982]",0.012391361509964893
3,0.8159737029140015,KNeighborsClassifier,"{'n_neighbors': 7, 'weights': 'distance', 'algorithm': 'kd_tree', 'p': 2, 'leaf_size': 50}",0.016091012954711915,"[0.81547619 0.79464286 0.81547619 0.80059524 0.8125     0.83630952
 0.83035714 0.7827381  0.83880597 0.83283582]","[0.01499176 0.01599121 0.01798987 0.01599073 0.01699042 0.01599121
 0.01599097 0.01499104 0.01599097 0.01599193]",0.017985388053319198
4,0.8156707533759772,KNeighborsClassifier,"{'n_neighbors': 6, 'weights': 'uniform', 'algorithm': 'ball_tree', 'p': 1, 'leaf_size': 10}",0.02848358154296875,"[0.79761905 0.80059524 0.8452381  0.81547619 0.8125     0.82738095
 0.80654762 0.79761905 0.83283582 0.82089552]","[0.02798271 0.02798414 0.02598643 0.03098202 0.02898288 0.02798533
 0.0289824  0.02798319 0.02898431 0.0289824 ]",0.015184257156092543
5,0.8147787846481875,KNeighborsClassifier,"{'n_neighbors': 20, 'weights': 'uniform', 'algorithm': 'kd_tree', 'p': 1, 'leaf_size': 70}",0.03378074169158936,"[0.80357143 0.82142857 0.80952381 0.80059524 0.80952381 0.81845238
 0.82738095 0.80059524 0.84179104 0.81492537]","[0.03297949 0.0389781  0.03198171 0.03198218 0.03597903 0.03198218
 0.03498006 0.03398108 0.03098464 0.03397894]",0.01236686554461199
6,0.814179104477612,KNeighborsClassifier,"{'n_neighbors': 6, 'weights': 'uniform', 'algorithm': 'brute', 'p': 1, 'leaf_size': 10}",0.04137675762176514,"[0.80357143 0.79464286 0.83928571 0.8125     0.80952381 0.82142857
 0.83630952 0.7827381  0.8238806  0.81791045]","[0.03597975 0.03997731 0.04197598 0.04097724 0.05496812 0.03997755
 0.05097103 0.03797889 0.03498149 0.03598022]",0.016697035485664643
7,0.8135838663823737,KNeighborsClassifier,"{'n_neighbors': 20, 'weights': 'uniform', 'algorithm': 'ball_tree', 'p': 1, 'leaf_size': 30}",0.045774102210998535,"[0.80952381 0.82142857 0.8125     0.80059524 0.80654762 0.82738095
 0.83035714 0.78571429 0.8358209  0.80597015]","[0.0469799  0.04596806 0.04497504 0.04897118 0.04497385 0.04497457
 0.04597425 0.04497457 0.04497504 0.04497457]",0.014485446256445766
8,0.8120931058990761,KNeighborsClassifier,"{'n_neighbors': 4, 'weights': 'uniform', 'algorithm': 'kd_tree', 'p': 1, 'leaf_size': 30}",0.020288610458374025,"[0.80654762 0.77678571 0.82738095 0.79761905 0.82142857 0.83035714
 0.82440476 0.80357143 0.82089552 0.8119403 ]","[0.01998925 0.0199883  0.01899028 0.02198768 0.0209868  0.01998925
 0.01998997 0.01898932 0.02098703 0.02098823]",0.015630126829259627
9,0.8100088841506752,KNeighborsClassifier,"{'n_neighbors': 15, 'weights': 'distance', 'algorithm': 'ball_tree', 'p': 2, 'leaf_size': 10}",0.033780598640441896,"[0.80059524 0.80357143 0.82142857 0.80059524 0.80059524 0.82738095
 0.82738095 0.78869048 0.82985075 0.8       ]","[0.03198123 0.03397989 0.02898407 0.04897237 0.03198242 0.03098154
 0.03398156 0.03297973 0.03198195 0.03198123]",0.014105422962228983
10,0.8070335820895522,KNeighborsClassifier,"{'n_neighbors': 5, 'weights': 'distance', 'algorithm': 'kd_tree', 'p': 5, 'leaf_size': 70}",0.06076567173004151,"[0.79464286 0.78571429 0.82142857 0.80357143 0.80059524 0.83333333
 0.82738095 0.77083333 0.82686567 0.80597015]","[0.05196977 0.06596184 0.06496334 0.08395219 0.0539701  0.05597067
 0.05496812 0.05596948 0.06196451 0.05796671]",0.019181475516133587
11,0.8064347903340441,KNeighborsClassifier,"{'n_neighbors': 3, 'weights': 'uniform', 'algorithm': 'ball_tree', 'p': 1, 'leaf_size': 10}",0.034580349922180176,"[0.8125     0.80357143 0.83035714 0.79166667 0.81845238 0.81845238
 0.80357143 0.76488095 0.8238806  0.79701493]","[0.02498484 0.02498627 0.02898312 0.06096578 0.02598453 0.02998281
 0.02498651 0.04897285 0.03298187 0.04297495]",0.01803390506838086
12,0.8061398365316276,KNeighborsClassifier,"{'n_neighbors': 8, 'weights': 'distance', 'algorithm': 'kd_tree', 'p': 3, 'leaf_size': 30}",0.05406925678253174,"[0.79166667 0.78571429 0.82142857 0.80059524 0.80357143 0.82440476
 0.83928571 0.76488095 0.82985075 0.8       ]","[0.04697251 0.05197215 0.07895446 0.04697347 0.06396389 0.04497409
 0.05097055 0.04897261 0.05696774 0.0499711 ]",0.021522587074230187
13,0.8025657427149964,KNeighborsClassifier,"{'n_neighbors': 20, 'weights': 'distance', 'algorithm': 'kd_tree', 'p': 2, 'leaf_size': 10}",0.023186850547790527,"[0.79464286 0.78571429 0.82142857 0.79464286 0.7797619  0.82440476
 0.82738095 0.77678571 0.8238806  0.79701493]","[0.02298617 0.02298784 0.02398586 0.02398682 0.0229876  0.02298641
 0.02198792 0.02298665 0.02298737 0.02398586]",0.018782489211588982
14,0.8013752665245202,KNeighborsClassifier,"{'n_neighbors': 8, 'weights': 'distance', 'algorithm': 'kd_tree', 'p': 5, 'leaf_size': 30}",0.05356981754302979,"[0.78869048 0.79166667 0.8125     0.79761905 0.79166667 0.81845238
 0.82738095 0.76488095 0.8238806  0.79701493]","[0.04697418 0.05097151 0.04797244 0.05596924 0.04797244 0.07495666
 0.05297041 0.05296993 0.04997158 0.05496979]",0.01820040542921697
15,0.8010758706467662,KNeighborsClassifier,"{'n_neighbors': 12, 'weights': 'distance', 'algorithm': 'brute', 'p': 3, 'leaf_size': 50}",0.3771867036819458,"[0.80357143 0.78869048 0.80357143 0.80654762 0.78571429 0.82738095
 0.82142857 0.75892857 0.81791045 0.79701493]","[0.35679746 0.35979748 0.40077353 0.38877964 0.40377212 0.35779762
 0.36679244 0.4037714  0.35879755 0.37478781]",0.019011182986415232
16,0.8010758706467662,KNeighborsClassifier,"{'n_neighbors': 12, 'weights': 'distance', 'algorithm': 'brute', 'p': 3, 'leaf_size': 10}",0.3340110778808594,"[0.80357143 0.78869048 0.80357143 0.80654762 0.78571429 0.82738095
 0.82142857 0.75892857 0.81791045 0.79701493]","[0.37278962 0.3817842  0.35679793 0.37478757 0.34580469 0.2878387
 0.30982447 0.30082965 0.30682611 0.30282784]",0.019011182986415232
17,0.7992910447761193,KNeighborsClassifier,"{'n_neighbors': 3, 'weights': 'distance', 'algorithm': 'brute', 'p': 5, 'leaf_size': 30}",0.32011892795562746,"[0.78571429 0.76785714 0.82142857 0.79761905 0.79464286 0.82738095
 0.80059524 0.7797619  0.82686567 0.79104478]","[0.38278365 0.36979032 0.32281685 0.32681561 0.31182289 0.28983665
 0.29783154 0.29383445 0.3078258  0.29783154]",0.019202557168842012
18,0.7969171997157072,KNeighborsClassifier,"{'n_neighbors': 6, 'weights': 'uniform', 'algorithm': 'ball_tree', 'p': 3, 'leaf_size': 10}",0.18049793243408202,"[0.7827381  0.78571429 0.80654762 0.79166667 0.78869048 0.80059524
 0.81547619 0.75595238 0.81791045 0.8238806 ]","[0.15990901 0.16990399 0.15791225 0.20888138 0.17689919 0.17390203
 0.195889   0.1908915  0.17989898 0.19089198]",0.019283065310718613
19,0.796910092395167,KNeighborsClassifier,"{'n_neighbors': 5, 'weights': 'uniform', 'algorithm': 'kd_tree', 'p': 5, 'leaf_size': 10}",0.02928321361541748,"[0.78571429 0.78571429 0.80059524 0.7827381  0.79761905 0.82142857
 0.81845238 0.75892857 0.81791045 0.8       ]","[0.02898359 0.03697872 0.02998161 0.0279851  0.02798462 0.02898335
 0.02698398 0.02798271 0.02898502 0.02798343]",0.01850406710446958
20,0.7969083155650319,KNeighborsClassifier,"{'n_neighbors': 5, 'weights': 'uniform', 'algorithm': 'kd_tree', 'p': 5, 'leaf_size': 30}",0.04207618236541748,"[0.78869048 0.7827381  0.80059524 0.78571429 0.79761905 0.82142857
 0.82142857 0.75892857 0.8119403  0.8       ]","[0.04097605 0.04097795 0.04097724 0.04297519 0.04197598 0.04197645
 0.03997755 0.0429759  0.04397416 0.04397535]",0.01813339117186997
21,0.7927389836531628,KNeighborsClassifier,"{'n_neighbors': 6, 'weights': 'uniform', 'algorithm': 'kd_tree', 'p': 5, 'leaf_size': 70}",0.06376404762268066,"[0.79761905 0.7827381  0.80357143 0.78571429 0.78571429 0.80059524
 0.8125     0.75595238 0.8        0.80298507]","[0.05496883 0.05596876 0.05896664 0.05496883 0.070961   0.09294796
 0.05696654 0.05696702 0.06296492 0.07195997]",0.015175785964450577
22,0.7921401918976545,KNeighborsClassifier,"{'n_neighbors': 50, 'weights': 'uniform', 'algorithm': 'kd_tree', 'p': 1, 'leaf_size': 10}",0.04457476139068604,"[0.77678571 0.7797619  0.79166667 0.80357143 0.79166667 0.80059524
 0.82440476 0.76190476 0.83283582 0.75820896]","[0.04397607 0.0439744  0.04397535 0.04597354 0.04397488 0.04397511
 0.04397511 0.04397488 0.04397583 0.04797244]",0.023139226762960194
23,0.7918496801705757,KNeighborsClassifier,"{'n_neighbors': 3, 'weights': 'uniform', 'algorithm': 'ball_tree', 'p': 4, 'leaf_size': 30}",0.24016406536102294,"[0.76785714 0.7827381  0.81547619 0.7827381  0.7797619  0.80952381
 0.79464286 0.77083333 0.82686567 0.7880597 ]","[0.22087407 0.22687149 0.24186206 0.27184653 0.23686695 0.23086929
 0.27584338 0.24586082 0.22987199 0.22087407]",0.01856975290013485
24,0.7918461265103056,KNeighborsClassifier,"{'n_neighbors': 6, 'weights': 'uniform', 'algorithm': 'brute', 'p': 5, 'leaf_size': 10}",0.35499939918518064,"[0.79166667 0.78571429 0.80654762 0.7827381  0.78571429 0.80059524
 0.80654762 0.75595238 0.80298507 0.8       ]","[0.34480548 0.38478184 0.34980297 0.35479951 0.37178969 0.34380555
 0.3418076  0.40077353 0.34980226 0.30782557]",0.014648975697870046
25,0.7915520611229567,KNeighborsClassifier,"{'n_neighbors': 3, 'weights': 'uniform', 'algorithm': 'kd_tree', 'p': 5, 'leaf_size': 70}",0.05606827735900879,"[0.76785714 0.77678571 0.81845238 0.7827381  0.78571429 0.80357143
 0.79464286 0.77083333 0.82686567 0.7880597 ]","[0.04997158 0.0569675  0.05097127 0.04997277 0.06496286 0.0599668
 0.06596184 0.06196594 0.04897189 0.05097032]",0.01859413491558796
26,0.7906583155650321,KNeighborsClassifier,"{'n_neighbors': 3, 'weights': 'uniform', 'algorithm': 'ball_tree', 'p': 5, 'leaf_size': 70}",0.2305697202682495,"[0.77380952 0.7827381  0.81547619 0.7797619  0.7827381  0.80357143
 0.79166667 0.76488095 0.82686567 0.78507463]","[0.26385045 0.27484536 0.23986387 0.20588613 0.20688081 0.2468605
 0.2128799  0.22487211 0.2108829  0.21887517]",0.01821644359614688
27,0.7906520966595593,KNeighborsClassifier,"{'n_neighbors': 4, 'weights': 'uniform', 'algorithm': 'kd_tree', 'p': 5, 'leaf_size': 30}",0.038977956771850585,"[0.79464286 0.76190476 0.81547619 0.77380952 0.79464286 0.80357143
 0.80654762 0.76488095 0.8        0.79104478]","[0.03897762 0.03897786 0.03797889 0.03997684 0.03997803 0.03797817
 0.03797865 0.03798008 0.0379765  0.04197693]",0.01711559414244122
28,0.7885669864960909,KNeighborsClassifier,"{'n_neighbors': 4, 'weights': 'uniform', 'algorithm': 'kd_tree', 'p': 5, 'leaf_size': 10}",0.03308112621307373,"[0.79166667 0.76190476 0.80952381 0.77678571 0.79464286 0.80059524
 0.80357143 0.76190476 0.79701493 0.7880597 ]","[0.02498484 0.02798438 0.02498507 0.03598022 0.05197001 0.03098226
 0.02498698 0.02498579 0.03398013 0.04997158]",0.01577243353377275
29,0.7879779673063254,KNeighborsClassifier,"{'n_neighbors': 8, 'weights': 'uniform', 'algorithm': 'ball_tree', 'p': 5, 'leaf_size': 10}",0.19918744564056395,"[0.77678571 0.77083333 0.79761905 0.80357143 0.7827381  0.80059524
 0.79761905 0.74404762 0.8119403  0.79402985]","[0.17789936 0.18589568 0.21787691 0.19289112 0.18889332 0.18089747
 0.19888759 0.23086953 0.20188498 0.21587849]",0.018909277576129903
30,0.7870815565031982,KNeighborsClassifier,"{'n_neighbors': 8, 'weights': 'uniform', 'algorithm': 'kd_tree', 'p': 5, 'leaf_size': 10}",0.032681393623352054,"[0.77380952 0.7797619  0.79761905 0.79464286 0.7797619  0.79761905
 0.80654762 0.74702381 0.80298507 0.79104478]","[0.03198123 0.03397989 0.03298116 0.03298163 0.03198242 0.03198099
 0.02998376 0.03398013 0.03198218 0.03498054]",0.016777162581706827
31,0.7867821606254443,KNeighborsClassifier,"{'n_neighbors': 10, 'weights': 'uniform', 'algorithm': 'ball_tree', 'p': 5, 'leaf_size': 70}",0.2937338829040527,"[0.77678571 0.77083333 0.80357143 0.79166667 0.77083333 0.80952381
 0.8125     0.74404762 0.80895522 0.77910448]","[0.27584457 0.29682994 0.31782055 0.2978313  0.28683853 0.2958324
 0.32681489 0.30982566 0.27284622 0.25685477]",0.02114194762076273
32,0.782908670931059,KNeighborsClassifier,"{'n_neighbors': 12, 'weights': 'uniform', 'algorithm': 'kd_tree', 'p': 5, 'leaf_size': 10}",0.03767874240875244,"[0.77380952 0.77678571 0.78869048 0.78869048 0.77678571 0.79761905
 0.80357143 0.75       0.8119403  0.76119403]","[0.0349791  0.03597999 0.03797841 0.0369792  0.03597975 0.04097652
 0.03797936 0.03597975 0.04197645 0.03797889]",0.018070198155123365
33,0.7820131485429993,KNeighborsClassifier,"{'n_neighbors': 15, 'weights': 'uniform', 'algorithm': 'kd_tree', 'p': 5, 'leaf_size': 30}",0.06346399784088134,"[0.78571429 0.77083333 0.80059524 0.7827381  0.75595238 0.8125
 0.80357143 0.74404762 0.80895522 0.75522388]","[0.0549686  0.08195424 0.06396294 0.06696177 0.07695675 0.05696774
 0.06096506 0.05896735 0.05596805 0.0569675 ]",0.023329807482535853
34,0.7799298152096659,KNeighborsClassifier,"{'n_neighbors': 20, 'weights': 'uniform', 'algorithm': 'ball_tree', 'p': 3, 'leaf_size': 70}",0.31022460460662843,"[0.78571429 0.77678571 0.7797619  0.77380952 0.75892857 0.80654762
 0.80952381 0.74404762 0.79402985 0.77014925]","[0.29383373 0.32481623 0.30982471 0.3148222  0.33181214 0.32181764
 0.28983665 0.31981874 0.30682778 0.28883624]",0.01920468233981111
35,0.7748605188343994,KNeighborsClassifier,"{'n_neighbors': 30, 'weights': 'uniform', 'algorithm': 'brute', 'p': 2, 'leaf_size': 10}",0.05277009010314941,"[0.7797619  0.75297619 0.7827381  0.77678571 0.75595238 0.79166667
 0.82440476 0.75297619 0.78208955 0.74925373]","[0.04497361 0.0439744  0.0449748  0.04197693 0.0589664  0.08894992
 0.07395816 0.04097652 0.04797292 0.04097724]",0.022023161946073472
36,0.7742706112295665,KNeighborsClassifier,"{'n_neighbors': 20, 'weights': 'uniform', 'algorithm': 'kd_tree', 'p': 5, 'leaf_size': 10}",0.04807281494140625,"[0.7797619  0.7797619  0.77380952 0.77380952 0.75297619 0.78869048
 0.80952381 0.73511905 0.7880597  0.76119403]","[0.05596781 0.05996609 0.04797292 0.04997206 0.04397559 0.04497504
 0.04397416 0.04397488 0.0439744  0.04597521]",0.01964405148437082
37,0.7733777540867093,KNeighborsClassifier,"{'n_neighbors': 20, 'weights': 'uniform', 'algorithm': 'kd_tree', 'p': 5, 'leaf_size': 30}",0.0644634485244751,"[0.7797619  0.77678571 0.77083333 0.77083333 0.75595238 0.78869048
 0.80654762 0.73511905 0.7880597  0.76119403]","[0.06096506 0.06396389 0.06296396 0.0629642  0.06296587 0.06396317
 0.06596279 0.06396389 0.06596208 0.07095957]",0.01879205707629945
38,0.7620602345415779,KNeighborsClassifier,"{'n_neighbors': 50, 'weights': 'distance', 'algorithm': 'kd_tree', 'p': 5, 'leaf_size': 70}",0.11473517417907715,"[0.75       0.75       0.76190476 0.76190476 0.73809524 0.79464286
 0.82142857 0.7202381  0.77910448 0.74328358]","[0.10494041 0.10793972 0.11593318 0.10694003 0.11393571 0.11293626
 0.12292981 0.12093234 0.13092613 0.10993814]",0.028006525789395983
39,0.7418052594171998,KNeighborsClassifier,"{'n_neighbors': 50, 'weights': 'uniform', 'algorithm': 'kd_tree', 'p': 5, 'leaf_size': 70}",0.09844427108764649,"[0.73214286 0.73511905 0.73809524 0.74404762 0.7172619  0.77083333
 0.79761905 0.7172619  0.74925373 0.71641791]","[0.10593963 0.12293053 0.11893296 0.09794402 0.08295369 0.09494638
 0.0889504  0.09494519 0.08795118 0.08894873]",0.02453450151677157
40,0.7418043710021321,KNeighborsClassifier,"{'n_neighbors': 50, 'weights': 'uniform', 'algorithm': 'kd_tree', 'p': 5, 'leaf_size': 10}",0.07155952453613282,"[0.73214286 0.73511905 0.73511905 0.74702381 0.7202381  0.77083333
 0.79761905 0.7172619  0.74925373 0.71343284]","[0.08095407 0.07195807 0.06796145 0.07595873 0.06995964 0.06996059
 0.0699594  0.0689621  0.06896067 0.07096052]",0.024689688421282625
41,0.7412100213219616,KNeighborsClassifier,"{'n_neighbors': 50, 'weights': 'uniform', 'algorithm': 'ball_tree', 'p': 5, 'leaf_size': 30}",0.2717458724975586,"[0.72619048 0.73511905 0.73511905 0.74702381 0.7172619  0.77380952
 0.79761905 0.71428571 0.75223881 0.71343284]","[0.3268137  0.27684236 0.2818408  0.27084708 0.27784252 0.24386311
 0.25385666 0.26884484 0.2618525  0.25485516]",0.026019087843478856
42,0.7406130063965884,KNeighborsClassifier,"{'n_neighbors': 50, 'weights': 'uniform', 'algorithm': 'ball_tree', 'p': 5, 'leaf_size': 70}",0.33171250820159914,"[0.72619048 0.73511905 0.73809524 0.74702381 0.7172619  0.77083333
 0.79761905 0.71428571 0.74626866 0.71343284]","[0.3118248  0.35979509 0.31282282 0.31582165 0.37278962 0.3258152
 0.31182432 0.36079645 0.35779834 0.28783679]",0.025412075320760116
