Approach,MAE,MSE,Runtime,bootstrap,criterion,generacion,max_features,n_estimators,oob_score,stdApproach,stdMAE,stdMSE,stdRuntime,warm_start
0,100,100,0,True,mse,0,,12,True,0,100,100,0,True
0,100,100,0,True,mse,3,log2,20,True,0,100,100,0,False
0,100,100,0,False,mse,4,,12,True,0,100,100,0,True
0,100,100,0,True,mae,4,,12,True,0,100,100,0,False
0,100,100,0,True,mae,4,,20,True,0,100,100,0,True
0,100,100,0,True,mae,4,,15,False,0,100,100,0,True
0,100,100,0,True,mae,4,,15,True,0,100,100,0,True
0,100,100,0,True,mae,4,,12,True,0,100,100,0,True
0,100,100,0,True,mae,4,,10,True,0,100,100,0,True
0,100,100,0,True,mse,4,,15,False,0,100,100,0,True
0,100,100,0,True,mse,4,,10,False,0,100,100,0,True
0,100,100,0,False,mse,3,log2,20,True,0,100,100,0,True
0,100,100,0,False,mse,3,log2,15,True,0,100,100,0,True
0,100,100,0,True,mae,3,log2,20,True,0,100,100,0,True
0,100,100,0,True,mse,4,log2,12,False,0,100,100,0,True
0,100,100,0,True,mse,3,log2,10,False,0,100,100,0,True
0,100,100,0,False,mae,3,sqrt,20,True,0,100,100,0,True
0,100,100,0,False,mae,3,sqrt,15,True,0,100,100,0,True
0,100,100,0,False,mse,3,sqrt,20,True,0,100,100,0,True
0,100,100,0,False,mse,3,sqrt,15,True,0,100,100,0,True
0,100,100,0,False,mse,3,sqrt,10,True,0,100,100,0,True
0,100,100,0,True,mse,3,sqrt,20,True,0,100,100,0,True
0,100,100,0,False,mae,3,,20,True,0,100,100,0,True
0,100,100,0,False,mse,3,,20,True,0,100,100,0,True
0,100,100,0,False,mae,2,log2,12,True,0,100,100,0,True
0,100,100,0,True,mae,2,log2,12,True,0,100,100,0,False
0,100,100,0,True,mse,4,log2,12,True,0,100,100,0,True
0,100,100,0,True,mae,4,log2,10,False,0,100,100,0,True
0,100,100,0,True,mse,0,,18,True,0,100,100,0,True
0,100,100,0,True,mse,5,log2,15,True,0,100,100,0,False
0,100,100,0,False,mse,6,log2,20,True,0,100,100,0,False
0,100,100,0,False,mae,6,log2,15,True,0,100,100,0,True
0,100,100,0,False,mse,6,log2,12,True,0,100,100,0,True
0,100,100,0,True,mae,6,log2,12,True,0,100,100,0,True
0,100,100,0,False,mae,6,,12,True,0,100,100,0,False
0,100,100,0,False,mae,6,,20,False,0,100,100,0,True
0,100,100,0,False,mae,6,,15,True,0,100,100,0,True
0,100,100,0,False,mae,6,,12,True,0,100,100,0,True
0,100,100,0,False,mse,6,,10,True,0,100,100,0,True
0,100,100,0,True,mse,6,,15,True,0,100,100,0,True
0,100,100,0,False,mse,5,log2,15,True,0,100,100,0,False
0,100,100,0,True,mse,5,log2,10,True,0,100,100,0,False
0,100,100,0,True,mae,4,log2,12,False,0,100,100,0,True
0,100,100,0,True,mse,5,log2,10,True,0,100,100,0,True
0,100,100,0,True,mae,5,,15,True,0,100,100,0,False
0,100,100,0,True,mse,5,,20,True,0,100,100,0,False
0,100,100,0,True,mse,5,,15,True,0,100,100,0,False
0,100,100,0,True,mse,5,,12,True,0,100,100,0,False
0,100,100,0,True,mae,5,,12,False,0,100,100,0,True
0,100,100,0,True,mse,5,,12,False,0,100,100,0,True
0,100,100,0,False,mse,4,log2,12,False,0,100,100,0,True
0,100,100,0,False,mse,4,log2,10,False,0,100,100,0,True
0,100,100,0,True,mae,4,log2,15,False,0,100,100,0,True
0,100,100,0,True,mae,4,log2,15,True,0,100,100,0,True
0,100,100,0,True,mae,2,log2,10,True,0,100,100,0,False
0,100,100,0,True,mse,2,log2,12,True,0,100,100,0,False
0,100,100,0,True,mse,2,log2,10,False,0,100,100,0,False
0,100,100,0,True,mse,0,sqrt,18,True,0,100,100,0,False
0,100,100,0,False,mae,0,log2,12,False,0,100,100,0,False
0,100,100,0,True,mae,0,log2,20,True,0,100,100,0,False
0,100,100,0,True,mse,0,log2,18,True,0,100,100,0,False
0,100,100,0,True,mse,0,log2,18,True,0,100,100,0,True
0,100,100,0,True,mse,0,log2,15,False,0,100,100,0,True
0,100,100,0,False,mae,0,sqrt,18,True,0,100,100,0,True
0,100,100,0,False,mae,0,sqrt,10,False,0,100,100,0,True
0,100,100,0,False,mse,0,sqrt,18,False,0,100,100,0,True
0,100,100,0,False,mse,0,sqrt,10,False,0,100,100,0,True
0,100,100,0,True,mae,0,sqrt,12,True,0,100,100,0,False
0,100,100,0,True,mse,0,sqrt,20,True,0,100,100,0,False
0,100,100,0,True,mse,0,sqrt,20,False,0,100,100,0,True
0,100,100,0,True,mae,2,log2,10,True,0,100,100,0,True
0,100,100,0,False,mae,0,,15,False,0,100,100,0,False
0,100,100,0,False,mse,0,,18,False,0,100,100,0,False
0,100,100,0,False,mse,0,,18,True,0,100,100,0,False
0,100,100,0,False,mse,0,,15,False,0,100,100,0,False
0,100,100,0,False,mae,0,,18,True,0,100,100,0,True
0,100,100,0,False,mae,0,,12,False,0,100,100,0,True
0,100,100,0,False,mae,0,,10,False,0,100,100,0,True
0,100,100,0,False,mse,0,,20,False,0,100,100,0,True
0,100,100,0,True,mae,0,,20,False,0,100,100,0,False
0,100,100,0,True,mse,0,,18,False,0,100,100,0,False
0,100,100,0,True,mse,0,,20,False,0,100,100,0,True
0,100,100,0,False,mae,0,log2,18,False,0,100,100,0,False
0,100,100,0,True,mse,1,,10,True,0,100,100,0,True
0,100,100,0,True,mae,1,,18,True,0,100,100,0,True
0,100,100,0,True,mse,1,,18,True,0,100,100,0,False
0,100,100,0,False,mse,2,sqrt,12,True,0,100,100,0,True
0,100,100,0,True,mae,2,sqrt,12,False,0,100,100,0,False
0,100,100,0,True,mae,2,sqrt,10,True,0,100,100,0,False
0,100,100,0,True,mse,2,sqrt,12,False,0,100,100,0,False
0,100,100,0,True,mse,2,sqrt,12,True,0,100,100,0,False
0,100,100,0,True,mse,2,sqrt,10,True,0,100,100,0,False
0,100,100,0,True,mae,2,sqrt,20,True,0,100,100,0,True
0,100,100,0,True,mae,2,sqrt,12,False,0,100,100,0,True
0,100,100,0,True,mae,2,sqrt,12,True,0,100,100,0,True
0,100,100,0,True,mae,2,sqrt,10,False,0,100,100,0,True
0,100,100,0,True,mae,2,,10,True,0,100,100,0,False
0,100,100,0,True,mse,1,log2,20,False,0,100,100,0,True
0,100,100,0,True,mse,1,log2,20,True,0,100,100,0,True
0,100,100,0,True,mse,1,log2,15,True,0,100,100,0,True
0,100,100,0,True,mae,1,sqrt,15,True,0,100,100,0,True
0,100,100,0,True,mae,1,sqrt,10,True,0,100,100,0,True
0,100,100,0,True,mse,1,sqrt,18,True,0,100,100,0,True
0,100,100,0,True,mse,1,sqrt,15,False,0,100,100,0,True
0,100,100,0,True,mse,1,sqrt,15,True,0,100,100,0,True
0,100,100,0,True,mse,1,sqrt,12,False,0,100,100,0,True
0,100,100,0,True,mse,1,sqrt,12,True,0,100,100,0,True
0,100,100,0,True,mse,1,sqrt,10,False,0,100,100,0,True
0,100,100,0,True,mse,1,sqrt,10,True,0,100,100,0,True
0,100,100,0,False,mae,6,log2,20,False,0,100,100,0,False
